"Event H-ID","Text (Book) H-ID","Text RecordTitle","Start page event","End page event","Page event number",Line,"Narrative Status",Chronology,"Chronology Type","Event Start","Event End","Date Type"
128,,233,233,1,"A little celebration was on at deep dusk around",Narrated,24,Sequential,"14 Aug  1947","31 Aug  1947",Certain
256,,233,233,2,"The warriors of the newly formed Pakistan",Narrated,21,Sequential,"14 Aug  1947","31 Aug  1947",Certain
257,,234,234,4,"'I say, Jumma'. Hashmat pullled Jumma",Narrated,26,Sequential,"14 Aug  1947","31 Aug  1947",Certain
258,,233,233,3,"Hashmat belonged to the Musali tribe",Narrated,25,Sequential,"14 Aug  1947","31 Aug  1947",Certain
259,,234,234,1,"In the chaos of the last two or three",Narrated,22,Sequential,"14 Aug  1947","31 Aug  1947",Certain
260,,234,234,2,"The previous night he had tripped and",Narrated,17,Sequential,"13 Aug  1947","31 Aug  1947",Certain
261,,234,234,3,"to make up for that loss, he had",Narrated,23,Sequential,"14 Aug  1947","31 Aug  1947",Certain
307,,13,13,1,"A yellow circle of light filtered",Narrated,28,Sequential,"1 Jan  1977","15 Jan  1977",Certain
308,,13,13,2,"Once the mist was scattered",Narrated,29,Sequential,"1 Jan  1977","15 Jan  1977",Certain
309,,13,13,3,"If only that stupid fellow",Narrated.First-person,30,Sequential,"1 Jan  1977","15 Jan  1977",Certain
310,,13,14,4,"Then I saw Salimullah upto",Narrated.First-person,31,Sequential,"1 Jan  1977","15 Jan  1977",Certain
312,,14,14,1,"Nawab and I turned to look",Narrated.First-person,32,Sequential,"1 Jan  1977","15 Jan  1977",Certain
313,,14,15,2,"Salimullah stood before us holding up",Narrated.First-person,33,Sequential,"1 Jan  1977","15 Jan  1977",Certain
314,,15,15,1,"Gulam Ali joined Salimullah. Together they",Narrated.First-person,34,Sequential,"1 Jan  1977","15 Jan  1977",Certain
315,,15,15,2,"After a short drive we reached",Narrated.First-person,35,Sequential,"1 Jan  1977","15 Jan  1977",Uncertain
318,,15,17,3,"– I opened the door, walked in",Narrated.First-person,36,Sequential,"1 Jan  1977","15 Jan  1977",Certain
319,,17,17,1,"After a long silence, I told Nawab",Narrated.First-person,37,Sequential,"1 Jan  1977","15 Jan  1977",Certain
320,,17,17,2,"We got into our jeeps again",Narrated.First-person,38,Sequential,"1 Jan  1977","15 Jan  1977",Certain
321,,17,18,3,"When I looked back, I saw her",Narrated.First-person,39,Sequential,"1 Jan  1977","15 Jan  1977",Certain
322,,18,18,1,"I put my head down on the seat",Narrated.First-person,40,Sequential,"1 Jan  1977","15 Jan  1977",Certain
325,,234,234,5,"Even when they had been looting the",Narrated,19,Sequential,"14 Aug  1947","31 Aug  1947",Certain
326,,234,234,7,"All of a sudden Ghulam Sarwar looked up",Narrated,27,Sequential,"14 Aug  1947","31 Aug  1947",Certain
327,,235,235,1,"Ghulam Sarwar knew he was only going to sift",Narrated,28,Sequential,"14 Aug  1947","31 Aug  1947",Certain
328,,235,235,2,"Time was when his young heart had been full",Narrated,11,Continuous,"1 Jan  1917","14 Aug  1947",Certain
330,,234,234,6,"Those who had hesitated or were caught",Narrated,20,Sequential,"14 Aug  1947","31 Aug  1947",Certain
331,,235,235,3,"He began to search each of the looted",Narrated,29,Sequential,"14 Aug  1947","31 Aug  1947",Certain
332,,235,235,4,"Ghulam Sarwar knocked on the door",Narrated,30,Sequential,"14 Aug  1947","31 Aug  1947",Certain
