"Event H-ID","Text (Book) H-ID","Text RecordTitle","Text (Book chapter) H-ID","Text RecordTitle","Start page event","End page event","Page event number",Line,"Place_textual H-ID","Place_textual RecordTitle","Place mentioned (Place_mapped) H-ID","Place mentioned RecordTitle","Place mentioned","Place mentioned RecordTitle","Character(s) Present H-ID","Character(s) Present RecordTitle","Character(s) Mentioned H-ID","Character(s) Mentioned RecordTitle","Narrative Status",Chronology,"Chronology Type","Event Start","Event End","Date Type","Event - historical H-ID","Event - historical RecordTitle","Intertextual reference (Book) H-ID","Intertextual reference RecordTitle","Intertextual reference (Book chapter) H-ID","Intertextual reference RecordTitle"
128,,39,"""Qazi da Kot"" - Sarna, Mohinder Singh, in: <i> </i> . Sarna, Mohinder Singh",233,233,1,"A little celebration was on at deep dusk around",99,"Lamba well - ""Qazi da Kot"" in <i>Savage Harvest</i>",,,,,131,"Warriors of newly formed Pakistan - Unnamed Alias: None
in ""Qazi da Kot""",,,Narrated,24,Sequential,"14 Aug  1947","31 Aug  1947",Certain,,,,,,
256,,39,"""Qazi da Kot"" - Sarna, Mohinder Singh, in: <i> </i> . Sarna, Mohinder Singh",233,233,2,"The warriors of the newly formed Pakistan",99,"Lamba well - ""Qazi da Kot"" in <i>Savage Harvest</i>",,,,,131,"Warriors of newly formed Pakistan - Unnamed Alias: None
in ""Qazi da Kot""",,,Narrated,21,Sequential,"14 Aug  1947","31 Aug  1947",Certain,,,,,,
257,,39,"""Qazi da Kot"" - Sarna, Mohinder Singh, in: <i> </i> . Sarna, Mohinder Singh",234,234,4,"'I say, Jumma'. Hashmat pullled Jumma",99,"Lamba well - ""Qazi da Kot"" in <i>Savage Harvest</i>",,,,,44|46|45,"Musali - Hashmat Alias: None
in ""Qazi da Kot""|Oil Presser - Jumma Alias: None
in ""Qazi da Kot""|Sarwar - Ghulam Alias: Hatho
in ""Qazi da Kot""",,,Narrated,26,Sequential,"14 Aug  1947","31 Aug  1947",Certain,,,,,,
258,,39,"""Qazi da Kot"" - Sarna, Mohinder Singh, in: <i> </i> . Sarna, Mohinder Singh",233,233,3,"Hashmat belonged to the Musali tribe",99,"Lamba well - ""Qazi da Kot"" in <i>Savage Harvest</i>",,,,,44|45|46,"Musali - Hashmat Alias: None
in ""Qazi da Kot""|Sarwar - Ghulam Alias: Hatho
in ""Qazi da Kot""|Oil Presser - Jumma Alias: None
in ""Qazi da Kot""",,,Narrated,25,Sequential,"14 Aug  1947","31 Aug  1947",Certain,,,,,,
259,,39,"""Qazi da Kot"" - Sarna, Mohinder Singh, in: <i> </i> . Sarna, Mohinder Singh",234,234,1,"In the chaos of the last two or three",94,"Qazi da Kot - ""Qazi da Kot"" in <i>Savage Harvest</i>",,,,,45,"Sarwar - Ghulam Alias: Hatho
in ""Qazi da Kot""",,,Narrated,22,Sequential,"14 Aug  1947","31 Aug  1947",Certain,,,,,,
260,,39,"""Qazi da Kot"" - Sarna, Mohinder Singh, in: <i> </i> . Sarna, Mohinder Singh",234,234,2,"The previous night he had tripped and",94,"Qazi da Kot - ""Qazi da Kot"" in <i>Savage Harvest</i>",,,,,45,"Sarwar - Ghulam Alias: Hatho
in ""Qazi da Kot""",,,Narrated,17,Sequential,"13 Aug  1947","31 Aug  1947",Certain,,,,,,
261,,39,"""Qazi da Kot"" - Sarna, Mohinder Singh, in: <i> </i> . Sarna, Mohinder Singh",234,234,3,"to make up for that loss, he had",94,"Qazi da Kot - ""Qazi da Kot"" in <i>Savage Harvest</i>",,,,,45,"Sarwar - Ghulam Alias: Hatho
in ""Qazi da Kot""",,,Narrated,23,Sequential,"14 Aug  1947","31 Aug  1947",Certain,,,,,,
307,,37,"""Separated from the Flock"" - Ashraf, Syed Mohammed, in: <i>Stories about Partition </i> (Vol. 1). Bhalla, Alok,
 1994",13,13,1,"A yellow circle of light filtered",196,"Shahganj - ""Separated from the Flock"" in <i>Stories about the Partition of India</i>",,,,,59|67|97|95|98,"Narrator - Unnamed Alias: None
in ""Separated from the Flock""|Ali - Gulam Alias: None
in ""Separated from the Flock""|Driver of Nawab - Unnamed Alias: None
in ""Separated from the Flock""|Friend of Narrator - Nawab Alias: None
in ""Separated from the Flock""|Manager of Nawab's factory - Salimullah Alias: None
in ""Separated from the Flock""",,,Narrated,28,Sequential,"1 Jan  1977","15 Jan  1977",Certain,,,,,,
308,,37,"""Separated from the Flock"" - Ashraf, Syed Mohammed, in: <i>Stories about Partition </i> (Vol. 1). Bhalla, Alok,
 1994",13,13,2,"Once the mist was scattered",196,"Shahganj - ""Separated from the Flock"" in <i>Stories about the Partition of India</i>",,,,,59|289|95|98|98,"Narrator - Unnamed Alias: None
in ""Separated from the Flock""|Ali - Bhai Farrukh Alias: None
in ""A Letter from India""|Friend of Narrator - Nawab Alias: None
in ""Separated from the Flock""|Manager of Nawab's factory - Salimullah Alias: None
in ""Separated from the Flock""|Manager of Nawab's factory - Salimullah Alias: None
in ""Separated from the Flock""",,,Narrated,29,Sequential,"1 Jan  1977","15 Jan  1977",Certain,,,,,,
309,,37,"""Separated from the Flock"" - Ashraf, Syed Mohammed, in: <i>Stories about Partition </i> (Vol. 1). Bhalla, Alok,
 1994",13,13,3,"If only that stupid fellow",196,"Shahganj - ""Separated from the Flock"" in <i>Stories about the Partition of India</i>",,,,,95|67|59|98|97,"Friend of Narrator - Nawab Alias: None
in ""Separated from the Flock""|Ali - Gulam Alias: None
in ""Separated from the Flock""|Narrator - Unnamed Alias: None
in ""Separated from the Flock""|Manager of Nawab's factory - Salimullah Alias: None
in ""Separated from the Flock""|Driver of Nawab - Unnamed Alias: None
in ""Separated from the Flock""",,,Narrated.First-person,30,Sequential,"1 Jan  1977","15 Jan  1977",Certain,,,,,,
