"Character H-ID","Page first mentioned","Family Name","Given names",AKA,Gender,"Number of Characters",Religion,"Religious attribution","Text (Book) H-ID","Text RecordTitle"
131,233,"Warriors of newly formed Pakistan",Unnamed,,Male,Mob,Muslim,Other-Identified.Narrator,
44,233,Musali,Hashmat,,Male,Single,Muslim,Definitional,
46,233,"Oil Presser",Jumma,,Male,Single,Muslim,Inferred,
45,233,Sarwar,Ghulam,Hatho,Male,Single,Muslim,"Self-identified by Character",
59,1,Narrator,Unnamed,,Male,Single,Muslim,Definitional,
67,1,Ali,Gulam,,Male,Single,Muslim,Nominal,
97,7,"Driver of Nawab",Unnamed,,Male,Single,Unknown,Unkown,
95,7,"Friend of Narrator",Nawab,,Male,Single,Muslim,Definitional,
98,7,"Manager of Nawab's factory",Salimullah,,Male,Single,Muslim,Nominal,
289,85,Ali,"Bhai Farrukh",,Male,Single,Muslim,Inferred,
80,3,"Wife of Gulam Ali",Jameela,,Female,Single,Muslim,Inferred,
47,234,Butcher,Karima,,Male,Single,Muslim,Inferred,
56,234,"Muslim group that took the village's women","Gondal Jat boys",,Male,Mob,Muslim,Definitional,
48,235,Kaur,Anup,,Female,Single,Sikh,Nominal,
89,235,"Husband of Anup",Granthi,Sardar,Male,Single,Sikh,Definitional,
348,19,"The young girl who was wildly sensual and self-posessed","Young Girl",,Female,Single,Unknown,Unkown,
178,91,Kaur,Kulwant,Jani,Female,Single,Sikh,Nominal,
177,91,Singh,Ishwar,Jani,Male,Single,Sikh,Inferred,
179,94,"Woman whom Ishwar Singh rapes",Unnamed,,Female,Single,Muslim,Inferred,
180,95,"Six Men whom Ishwar Singh kills",Unnamed,,Male,Group.Male-dominant,Muslim,Inferred,
181,95,"People who loot the city",Unnamed,,Unknown,Mob,Unknown,Unkown,
92,6,"Parents of Gulam Ali",Unnamed,,Unknown,Group,Muslim,Inferred,
341,55,"Lajwanti's husband",Sunderlal,,Male,Single,Hindu,Inferred,
445,55,"Committee Member","Sardar Sahib",,Male,Single,Sikh,Nominal,
536,55,Lawyer,"Kalka Prashad",,Male,Single,Hindu,Nominal,
555,55,Singh,Hukum,"Petitioner of Chauki Kalan",Male,Single,Hindu,Inferred,
339,55,Priest,"Narain Baba",,Male,Single,Hindu,Definitional,
343,55,"Wife of Sunderlal",Lajwanti,Lajo|Devi,Female,Single,Hindu,Inferred,
344,55,"Committee Member",Rasalu,,Male,Single,Hindu,Inferred,
474,55,Pleader,"Neki Ram",,Male,Single,Unknown,Unkown,
481,56,"Village women",Unknown,,Female,Group.Female-dominant,Hindu,Inferred,
483,57,"Lajwanti's sister",Unknown,,Female,Single,Hindu,Inferred,
484,57,"Lajwanti's brother-in-law",Unknown,,Male,Single,Hindu,Inferred,
383,67,"Visitors from Lahore",Unnamed,,Mutable,Group,Muslim,Other-Identified.Narrator,
364,67,"Part of group that travelled from Lahore",Fatehdina,,Female,Single,Muslim,Other-Identified.Narrator,
371,67,"Part of group that travelled from Lahore","Khan Sahib",,Male,Single,Muslim,Other-Identified.Narrator,
372,67,"Part of group that travelled from Lahore",Sukhi,,Female,Single,Muslim,Other-Identified.Narrator,
2338,67,Panwallah,Unnamed,,Male,Single,Unknown,Unkown,
493,57,"Women safely returned from Pakistan",Unknown,,Female,Group.Female-dominant,Hindu,Inferred,
494,55,Processionists,Unknown,,Male,Group.Male-dominant,Hindu,Inferred,
496,58,Sarabhai,Mridula,,Female,Single,Hindu,Inferred,
374,67,Singh,Jayamal,,Male,Single,Sikh,Inferred,
375,67,"Asim Ali",Hakim,,Male,Single,Muslim,Nominal,
